Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0248658973161246,-0.000239074546610159,0.104279920407504,0,0,0,1.51846290530928,0.00236691625856837,3.00180498487964E-06,6.9357425435072E-05,0.00263550441897128,-1.31786084379752E-07,0.00140083971155503,0,0,0,0,0,0,package://Pikachu_V025/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Pikachu_V025/meshes/base_link.STL,,Body_Sim_0205-1/22RM电池_230201_0426-0501_050223new2_0717_0205-1/22RMTB47S_230201_0426-0501_050223new2_0717_0205-1;Body_Sim_0205-1/Body_Volume_Sim2_0205-2;Body_Sim_0205-1/DM3507_With_Gearbox_Sim_0205-2/DM3507_Motor_V0_1_0205-1;Body_Sim_0205-1/DM3507_With_Gearbox_Sim_0205-1/DM3507_Motor_V0_1_0205-1;Head_ASM_Sim_0205-1/DS_R003D_32420_CM_M_Official_Model_0205-1;Head_ASM_Sim_0205-1/Head0_Body_Holder_V0_2_0205-1;Head_ASM_Sim_0205-1/Head0_1_Connector_V0_2_0205-1;Head_ASM_Sim_0205-1/DS_R003D_32420_CM_M_Official_Model_0205-4;Head_ASM_Sim_0205-1/Head1_2_Connector_1_V0_2_0205-1;Head_ASM_Sim_0205-1/DS_R003D_32420_CM_M_Official_Model_0205-3;Head_ASM_Sim_0205-1/Head1_2_Connector_2_V0_2_0205-1;Head_ASM_Sim_0205-1/Face_Sim_0205-1;Body_Sim_0205-1/Base_Link_Motor_Connector_1_V0_2_0205-2;Body_Sim_0205-1/Body_Volume_Sim2_0205-1;Body_Sim_0205-1/Base_Link_Motor_Connector_1_V0_2_0205-1;Body_Sim_0205-1/Tail_Body_Connector_And_Holder_V0_2_0205-1;Body_Sim_0205-1/DM4310P_Motor_V0_1_0205-2;Body_Sim_0205-1/DM4310P_Motor_V0_1_0205-1;Body_Sim_0205-1/Battery_Rack_Raise_Board_V0_2_0205-2;Body_Sim_0205-1/22RM电池_230201_0426-0501_050223new2_0717_0205-1/22RMNew Battery Rack_230201_0426-0501_050223new2_0717_0205-1;Body_Sim_0205-1/Mold_Spring_Red_D10_Inner4_65MN_0205-1;Body_Sim_0205-1/Tail_Servo_Holder_V0_2_0205-1;Body_Sim_0205-1/DM3507_With_Gearbox_Sim_0205-2/3507_Rear_Raiser_CNC_V0_2_0205-1;Body_Sim_0205-1/DM3507_With_Gearbox_Sim_0205-2/圆柱齿轮17×1_0205-1;Body_Sim_0205-1/Battery_Rack_Raise_Board_V0_2_0205-1;Body_Sim_0205-1/DM3507_With_Gearbox_Sim_0205-1/3507_Rear_Raiser_CNC_V0_2_0205-1;Body_Sim_0205-1/DM3507_With_Gearbox_Sim_0205-1/圆柱齿轮17×1_0205-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch_link,0.00920325123013891,0.0289511213720265,0.0244534242110747,0,0,0,0.131128174369325,3.09443359493404E-05,-1.46711074625832E-10,4.46526538448141E-08,2.96006347929105E-05,-1.87708399216609E-06,2.46723339503116E-05,0,0,0,0,0,0,package://Pikachu_V025/meshes/left_hip_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Pikachu_V025/meshes/left_hip_pitch_link.STL,,Thieg_Asm_Sim_0205-2/Hip0_Raiser_CNC_V0_2_0205-1;Thieg_Asm_Sim_0205-2/Hip_0_1_Supportor_V0_2_0205-1;Thieg_Asm_Sim_0205-2/DM3507_With_Gearbox_Sim_0205-7/DM3507_Motor_V0_1_0205-1;Thieg_Asm_Sim_0205-2/DM3507_With_Gearbox_Sim_0205-7/3507_Rear_Raiser_CNC_V0_2_0205-1;Thieg_Asm_Sim_0205-2/DM3507_With_Gearbox_Sim_0205-7/圆柱齿轮17×1_0205-1;Thieg_Asm_Sim_0205-2/Hip_Gear_D51_M1_V0_2_0205-2,left_hip_pitch_frame,hip_pitch_axis,left_hip_pitch_joint,continuous,0,0.0515,0,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
left_hip_roll_link,-2.06148097191985E-05,0.0257688798103179,-0.01094856081007,0,0,0,0.120459927292994,2.633632775397E-05,-6.5720849529199E-09,1.20682872669599E-09,2.40005074630719E-05,3.94475733639461E-07,2.98178904809497E-05,0,0,0,0,0,0,package://Pikachu_V025/meshes/left_hip_roll_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://Pikachu_V025/meshes/left_hip_roll_link.STL,,Thieg_Asm_Sim_0205-2/DM3507_With_Gearbox_Sim_0205-8/圆柱齿轮17×1_0205-1;Thieg_Asm_Sim_0205-2/DM3507_With_Gearbox_Sim_0205-8/3507_Rear_Raiser_CNC_V0_2_0205-1;Thieg_Asm_Sim_0205-2/Hip_Gear_D51_M1_V0_2_0205-1;Thieg_Asm_Sim_0205-2/Hip_1_2_Supportor_V0_2_0205-1;Thieg_Asm_Sim_0205-2/DM3507_With_Gearbox_Sim_0205-8/DM3507_Motor_V0_1_0205-1,left_hip_roll_frame,lhip_roll_axis,left_hip_roll_joint,continuous,0,0.0355,0,0,0,0,left_hip_pitch_link,1,0,0,,,,,,,,,,,,
left_hip_yaw_link,-0.00163503743808888,0.000676763376213745,0.0166626673400821,0,0,0,0.0410649211793094,1.77921638680041E-05,9.1300490130741E-12,-1.10953780553641E-10,1.30755369286199E-05,9.36102356344644E-07,7.35746919202218E-06,0,0,0,0,0,0,package://Pikachu_V025/meshes/left_hip_yaw_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://Pikachu_V025/meshes/left_hip_yaw_link.STL,,Thieg_Asm_Sim_0205-2/Hip_2_Knee_Supportor_V0_2_0205-1,left_hip_yaw_frame,lhip_yaw_axis,left_hip_yaw_joint,continuous,0,0,-0.046,0,0,0,left_hip_roll_link,0,0,-1,,,,,,,,,,,,
left_knee_link,7.33450698506389E-06,0.0238046516753096,-0.0335203032723837,0,0,0,0.218032110410692,8.40369294332751E-05,-2.57475258202327E-09,-1.01985530829951E-07,8.32268027679501E-05,1.36287215654808E-07,7.04023370459197E-05,0,0,0,0,0,0,package://Pikachu_V025/meshes/left_knee_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Pikachu_V025/meshes/left_knee_link.STL,,Thieg_Asm_Sim_0205-2/DM4310P_Motor_V0_1_0205-8;Thieg_Asm_Sim_0205-2/Knee_Ankle_Supportor_V0_2_0205-1;Thieg_Asm_Sim_0205-2/Knee_Motor_Rear_Raise_CNC_V0_2_0205-1;Thieg_Asm_Sim_0205-2/圆柱齿轮20×2_0205-2;Thieg_Asm_Sim_0205-2/圆柱齿轮20×2_0205-1;Thieg_Asm_Sim_0205-2/Knee_Axis_Rear_Raise_CNC_V0_2_0205-1,left_knee_frame,lknee_axis,left_knee_joint,continuous,0,0,-0.025,0,0,0,left_hip_yaw_link,0,1,0,,,,,,,,,,,,
left_ankle_link,-0.0136093342344966,0.0198623071860005,-0.0300854476118434,0,0,0,0.135141160870832,6.67189716039094E-05,-2.97400845436551E-06,9.96013005677274E-07,8.35360465025887E-05,1.36310089927655E-06,0.000101145055543541,0,0,0,0,0,0,package://Pikachu_V025/meshes/left_ankle_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://Pikachu_V025/meshes/left_ankle_link.STL,,Thieg_Asm_Sim_0205-2/Foot_V0_2_0205-1;Thieg_Asm_Sim_0205-2/DM3507_With_Gearbox_Sim_0205-9/DM3507_Motor_V0_1_0205-1;Thieg_Asm_Sim_0205-2/DM3507_With_Gearbox_Sim_0205-9/圆柱齿轮17×1_0205-1;Thieg_Asm_Sim_0205-2/DM3507_With_Gearbox_Sim_0205-9/3507_Rear_Raiser_CNC_V0_2_0205-1,left_ankle_frame,lankle_axis,left_ankle_joint,continuous,0,0,-0.0700000000000001,0,0,0,left_knee_link,0,-1,0,,,,,,,,,,,,
right_hip_pitch_link,-0.00920325122819299,-0.0289511213718761,0.0244534242087261,0,0,0,0.131128174380274,3.09443359518294E-05,-1.46710536496736E-10,-4.46526515209002E-08,2.96006347975272E-05,1.87708399165884E-06,2.4672333952739E-05,0,0,0,0,0,0,package://Pikachu_V025/meshes/right_hip_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://Pikachu_V025/meshes/right_hip_pitch_link.STL,,Thieg_Asm_Sim_0205-4/DM3507_With_Gearbox_Sim_0205-7/DM3507_Motor_V0_1_0205-1;Thieg_Asm_Sim_0205-4/Hip_0_1_Supportor_V0_2_0205-1;Thieg_Asm_Sim_0205-4/Hip0_Raiser_CNC_V0_2_0205-1;Thieg_Asm_Sim_0205-4/DM3507_With_Gearbox_Sim_0205-7/3507_Rear_Raiser_CNC_V0_2_0205-1;Thieg_Asm_Sim_0205-4/DM3507_With_Gearbox_Sim_0205-7/圆柱齿轮17×1_0205-1;Thieg_Asm_Sim_0205-4/Hip_Gear_D51_M1_V0_2_0205-2,right_hip_pitch_frame,hip_pitch_axis,right_hip_pitch_joint,continuous,0,-0.0515,0,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
right_hip_roll_link,-0.000142110260022219,-0.0257568154792935,-0.0109485611671593,0,0,0,0.120459924755024,2.63150070908483E-05,-1.49569580778851E-07,9.07152398469171E-09,2.40218277317685E-05,-3.95237725228403E-07,2.9817890112597E-05,0,0,0,0,0,0,package://Pikachu_V025/meshes/right_hip_roll_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://Pikachu_V025/meshes/right_hip_roll_link.STL,,Thieg_Asm_Sim_0205-4/DM3507_With_Gearbox_Sim_0205-8/圆柱齿轮17×1_0205-1;Thieg_Asm_Sim_0205-4/Hip_Gear_D51_M1_V0_2_0205-1;Thieg_Asm_Sim_0205-4/DM3507_With_Gearbox_Sim_0205-8/3507_Rear_Raiser_CNC_V0_2_0205-1;Thieg_Asm_Sim_0205-4/Hip_1_2_Supportor_V0_2_0205-1;Thieg_Asm_Sim_0205-4/DM3507_With_Gearbox_Sim_0205-8/DM3507_Motor_V0_1_0205-1,right_hip_roll_frame,rhip_roll_axis,right_hip_roll_joint,continuous,0,-0.0355,0,0,0,0,right_hip_pitch_link,1,0,0,,,,,,,,,,,,
right_hip_yaw_link,0.00163503784617864,-0.000676764004111763,0.01666266460157,0,0,0,0.0410649258706904,1.77921636373127E-05,9.35880735910971E-12,1.10974469680388E-10,1.30755369833068E-05,-9.3610219772242E-07,7.35746904660498E-06,0,0,0,0,0,0,package://Pikachu_V025/meshes/right_hip_yaw_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://Pikachu_V025/meshes/right_hip_yaw_link.STL,,Thieg_Asm_Sim_0205-4/Hip_2_Knee_Supportor_V0_2_0205-1,right_hip_yaw_frame,rhip_yaw_axis,right_hip_yaw_joint,continuous,0,0,-0.046,0,0,0,right_hip_roll_link,0,0,1,,,,,,,,,,,,
right_knee_link,-7.33450698683058E-06,-0.0238046516753161,-0.0335203032723833,0,0,0,0.218032110410645,8.4036928910417E-05,-2.57475258205218E-09,1.01987015064204E-07,8.322680276795E-05,-1.3628721565477E-07,7.04023375687777E-05,0,0,0,0,0,0,package://Pikachu_V025/meshes/right_knee_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Pikachu_V025/meshes/right_knee_link.STL,,Thieg_Asm_Sim_0205-4/DM4310P_Motor_V0_1_0205-8;Thieg_Asm_Sim_0205-4/Knee_Ankle_Supportor_V0_2_0205-1;Thieg_Asm_Sim_0205-4/圆柱齿轮20×2_0205-1;Thieg_Asm_Sim_0205-4/Knee_Axis_Rear_Raise_CNC_V0_2_0205-1;Thieg_Asm_Sim_0205-4/Knee_Motor_Rear_Raise_CNC_V0_2_0205-1;Thieg_Asm_Sim_0205-4/圆柱齿轮20×2_0205-2,right_knee_frame,rknee_axis,right_knee_joint,continuous,0,0,-0.025,0,0,0,right_hip_yaw_link,0,-1,0,,,,,,,,,,,,
